Field,Subfields,Job roles,Programming Languages ,Tools,Skills,Educational Background
Artificial Intelligence,Federated Learning,Secure Aggregation Engineer,"Python, C++, Java, Go","TensorFlow Federated, Flower, PySyft, OpenFL, gRPC, Docker, Kubernetes","Cryptography, secure multi-party computation, protocol design, distributed systems, encryption, differential privacy, performance optimization, debugging, collaboration","Master's (Cybersecurity, Cryptography, Computer Science)"
Artificial Intelligence,Federated Learning,FL Systems Architect,"Python, Java, Go, Bash, C++","Kubernetes, Docker, Terraform, Kubeflow, MLflow, Apache Kafka, gRPC, Prometheus","System design, scalability, architecture planning, distributed systems, cloud computing, networking, security, performance tuning, cross-team leadership, documentation","Master's (Systems Engineering, AI, Computer Science)"
Artificial Intelligence,Federated Learning,Differential Privacy in FL Specialist,"Python, R, C++","TensorFlow Privacy, IBM Differential Privacy Library, PySyft, Microsoft SEAL, Crypten","Differential privacy, noise calibration, privacy budgets, statistical analysis, cryptography, algorithm development, theoretical modeling, experiment design, collaboration","PhD (Privacy-Preserving AI, Differential Privacy, Cryptography)"
Artificial Intelligence,Federated Learning,FL for Mobile Devices Developer,"Python, Swift, Kotlin, Java, C++","TensorFlow Lite, PyTorch Mobile, AWS Greengrass, Azure IoT Edge, Docker","On-device training, model quantization, performance optimization, mobile OS integration, energy efficiency, network optimization, deployment, debugging, collaboration","Bachelor's (Mobile Computing, Computer Science, AI)"
Artificial Intelligence,Federated Learning,FL Applications Engineer,"Python, Java, C#, JavaScript","TensorFlow Federated, PyTorch, MLflow, Kubeflow, Docker, Kubernetes","Use-case analysis, application integration, model deployment, user requirements gathering, cross-functional communication, performance tuning, testing, debugging, project management","Master's (Computer Science, Machine Learning, AI Systems)"
Artificial Intelligence,Federated Learning,Cross-device Federated AI Engineer,"Python, C++, Swift, Kotlin, Java","gRPC, MQTT, TensorFlow Federated, PySyft, Flower, Azure IoT Hub","Cross-device communication, asynchronous training, fault tolerance, network optimization, security, resource management, scalability, debugging, collaboration","Master's (Federated Learning, AI, Distributed Computing)"
Artificial Intelligence,Edge AI,Edge AI Engineer,"C, C++, Python, Rust, Java","TensorFlow Lite, ONNX Runtime, OpenVINO, NVIDIA Jetson SDK, AWS IoT Greengrass, Edge Impulse, Docker, Kubernetes","model quantization, latency optimization, real-time inference, edge deployment, hardware-software integration, performance profiling, power management, networking, debugging, collaboration","Master's (AI, Computer Engineering, Embedded Systems)"
Artificial Intelligence,Edge AI,Embedded AI Developer,"C, C++, Python, Assembly, Rust","TensorFlow Lite Micro, CMSIS-NN, OpenCV, Yocto, FreeRTOS, PlatformIO, JTAG debugger, Git","embedded programming, memory management, real-time systems, cross-compilation, sensor integration, model pruning, kernel optimization, debugging, teamwork, problem-solving","Bachelor's (Computer Engineering, Embedded Systems, AI)"
Artificial Intelligence,Edge AI,AI-on-Chip Engineer,"VHDL, Verilog, SystemVerilog, C++, Python","Vivado, Quartus, Synopsys Design Compiler, ModelSim, MATLAB, HLS tools, TensorFlow, Git","hardware design, digital logic, RTL design, high-level synthesis, circuit optimization, verification, FPGA prototyping, resource allocation, power-area trade-offs, cross-disciplinary collaboration","Master's (Computer Engineering, VLSI Design, AI Hardware)"
Artificial Intelligence,Edge AI,Edge ML Optimization Specialist,"Python, C++, C, Assembly, CUDA","TensorRT, TVM, XLA, ONNX Runtime, TensorFlow Lite Optimizing Converter, NVIDIA Nsight, Apache TVM, Git","model compression, pruning, quantization, kernel fusion, compiler optimization, profiling, hardware acceleration, performance tuning, benchmarking, collaboration","Master's (Machine Learning, Embedded Systems, AI)"
Artificial Intelligence,Edge AI,Real-time Inference Systems Developer,"C, C++, Python, Rust, Go","FreeRTOS, Zephyr, TensorFlow Lite, ONNX Runtime, GStreamer, OpenCV, Docker, Kubernetes, Git","real-time scheduling, low-latency optimization, multi-threading, IPC, hardware acceleration, performance monitoring, debugging, system integration, documentation, teamwork","Bachelor's (Computer Science, Real-Time Systems)"
Artificial Intelligence,Edge AI,Edge AI Hardware Specialist,"VHDL, Verilog, SystemC, C, C++, Python","Xilinx Vivado, Intel Quartus, MATLAB/Simulink, Synopsys, ModelSim, Cadence, oscilloscope, logic analyzer","PCB design, FPGA development, ASIC design, DSP, hardware testing, power management, signal integrity, prototyping, collaboration, communication","Master's (Electrical Engineering, AI Hardware, Embedded Systems)"
Artificial Intelligence,Edge AI,Edge Computer Vision Engineer,"C++, Python, C, Java","OpenCV, TensorRT, ONNX Runtime, Intel OpenVINO, NVIDIA DeepStream, GStreamer, ROS, Docker, Git","image processing, feature extraction, object detection, model deployment, optimization, hardware acceleration, real-time video processing, camera interfacing, debugging, teamwork","Master's (Computer Vision, Embedded AI, Robotics)"
Artificial Intelligence,Edge AI,IoT + AI Integration Engineer,"Python, C, C++, JavaScript, Rust","AWS IoT Greengrass, Azure IoT Edge, MQTT, TensorFlow Lite, Node-RED, Docker, Kubernetes","IoT protocol integration, sensor fusion, edge deployment, security, data processing, real-time analytics, network optimization, debugging, cross-disciplinary collaboration, project coordination","Bachelor's (Computer Engineering, IoT Systems, AI)"
Artificial Intelligence,Edge AI,Edge DL Engineer,"Python, C++, CUDA, C, Rust","PyTorch, TensorFlow Lite, ONNX Runtime, NVIDIA TensorRT, Apache TVM, XLA, Docker","Deep learning model design, quantization, layer fusion, compiler optimizations, GPU acceleration, profiling, latency reduction, hardware-aware tuning, collaboration, problem-solving","Master's (Deep Learning, Embedded Systems, AI)"
Artificial Intelligence,Edge AI,Autonomous Edge Systems Developer,"C++, Python, Java, Rust, C","ROS, NVIDIA Jetson SDK, Docker, Kubernetes, TensorRT, OpenCV, ORB-SLAM","Autonomy algorithm integration, sensor fusion, SLAM, mapping, real-time control, deployment, testing, safety validation, debugging, teamwork","Master's (Robotics, Edge AI, Computer Engineering)"
Artificial Intelligence,Edge AI,TinyML Specialist,"C, C++, Python, Assembly, Rust","TensorFlow Lite Micro, Zephyr, CMSIS-NN, Arduino, PlatformIO, JTAG debugger","Model compression, quantization, energy-efficient inference, microcontroller programming, memory optimization, real-time constraints, sensor interfacing, debugging, collaboration, documentation","Master's (Computer Science, Embedded Systems, Machine Learning)"
Artificial Intelligence,Edge AI,Edge AI Product Architect,"Python, JavaScript, C++, Go, Java","AWS IoT, Azure IoT, TensorFlow Serving, Docker, Kubernetes, REST APIs, Grafana, Prometheus","System architecture, requirement analysis, scalability planning, tech stack selection, prototyping, vendor evaluation, performance benchmarking, cross-functional communication, product roadmap planning","Master's (AI Product Development, Systems Architecture, Computer Engineering)"
Artificial Intelligence,MLOps / AI Ops,MLOps Engineer,"Python, Go, Bash, YAML, SQL","Docker, Kubernetes, MLflow, Kubeflow, Airflow, Jenkins, Terraform","CI/CD, containerization, orchestration, automation, monitoring, version control, pipeline development, scripting, troubleshooting, collaboration","Bachelor's (Computer Science, Software Engineering, AI)"
Artificial Intelligence,MLOps / AI Ops,AI/ML Infrastructure Engineer,"Python, Go, Java, Bash, Scala","Kubernetes, Docker, Terraform, AWS, GCP, Azure, Ansible, Prometheus","Infrastructure design, cloud computing, container orchestration, automation, scaling, security, networking, scripting, monitoring, cross-team collaboration","Bachelor's (Computer Science, Cloud Computing, AI)"
Artificial Intelligence,MLOps / AI Ops,Machine Learning Deployment Engineer,"Python, Java, C#, JavaScript, Bash","Docker, Kubernetes, TensorFlow Serving, TorchServe, Seldon Core, AWS SageMaker, MLflow","Model packaging, containerization, orchestration, performance optimization, A/B testing, logging, deployment, troubleshooting, collaboration","Bachelor's (Computer Science, AI Engineering)"
Artificial Intelligence,MLOps / AI Ops,AI Model Monitoring Specialist,"Python, SQL, Bash, R, Go","Prometheus, Grafana, MLflow, Seldon Core, Datadog, New Relic, Elastic Stack","Monitoring, anomaly detection, alerting, metrics design, logging, data analysis, troubleshooting, stakeholder communication, continuous improvement, automation","Bachelor's (Computer Science, AI, Data Science)"
Artificial Intelligence,MLOps / AI Ops,Model Operations (ModelOps) Engineer,"Python, Java, Go, Bash, YAML","MLflow, Kubeflow Pipelines, Airflow, Jenkins, Docker, Kubernetes, Argo CD","Lifecycle management, governance, pipeline automation, compliance, versioning, CI/CD, monitoring, collaboration, risk management","Bachelor's (Computer Science, DevOps, AI)"
Artificial Intelligence,MLOps / AI Ops,ML CI/CD Pipeline Developer,"Python, Groovy, YAML, Bash, Java","Jenkins, GitLab CI, GitHub Actions, CircleCI, Terraform, Ansible, Kubeflow Pipelines","Pipeline design, automation, testing, integration, containerization, version control, scripting, documentation, collaboration","Bachelor's (Software Engineering, DevOps, AI)"
Artificial Intelligence,MLOps / AI Ops,AI Reliability Engineer,"Python, Go, Java, Bash, SQL","Prometheus, Grafana, PagerDuty, Kubernetes, Docker, Terraform, SRE frameworks","Reliability engineering, SLO/SLI/SLA design, chaos engineering, capacity planning, monitoring, incident response, root cause analysis, automation, collaboration","Bachelor's (Software Engineering, Site Reliability Engineering, AI)"
Artificial Intelligence,MLOps / AI Ops,AIOps Platform Engineer,"Python, Go, Java, Scala, Bash","Grafana, Prometheus, ELK Stack, Splunk, Datadog, Ansible, Terraform, Kubernetes, Jenkins, Airflow","Observability, automation, incident management, anomaly detection, log analytics, infrastructure as code, container orchestration, CI/CD, troubleshooting, collaboration","Bachelor's (Cloud Computing, AI, Software Engineering)"
Artificial Intelligence,MLOps / AI Ops,Data Versioning & Governance Engineer,"Python, SQL, Scala, Java, R","DVC, MLflow, Delta Lake, Apache Atlas, DataHub, Great Expectations, Airflow, Git, dbt, Collibra","Data versioning, metadata management, data lineage, governance frameworks, quality assurance, schema design, documentation, compliance, collaboration, problem-solving","Bachelor's (Data Science, Information Systems, AI)"
Artificial Intelligence,MLOps / AI Ops,AI/ML DevOps Specialist,"Python, Go, Bash, YAML, Java","Docker, Kubernetes, Jenkins, GitLab CI, Argo CD, MLflow, Seldon Core, Terraform, Ansible, AWS CodePipeline","CI/CD, containerization, orchestration, automation, model deployment, monitoring, version control, scripting, security best practices, teamwork","Bachelor's (Computer Science, DevOps, AI)"
Artificial Intelligence,MLOps / AI Ops,Scalable ML Systems Architect,"Python, Java, Scala, Go, SQL","Kubernetes, Apache Spark, TensorFlow Serving, Seldon Core, Kafka, Hadoop, Docker, Terraform, AWS, GCP","System architecture, scalability, distributed systems, microservices, data pipelines, performance optimization, cost optimization, capacity planning, stakeholder communication, leadership","Master's (Systems Architecture, Machine Learning, Cloud Computing)"
Artificial Intelligence,,ML Workflow Automation Engineer,"Python, Bash, Groovy, YAML, Java","Airflow, Argo Workflows, Kubeflow Pipelines, Jenkins, GitHub Actions, Prefect, MLflow, Terraform, Ansible, Dagster","Workflow orchestration, automation, pipeline development, scheduling, monitoring, debugging, version control, CI/CD, documentation, collaboration","Bachelor's (Computer Science, AI, Automation Engineering)"
Data Science,Data Analysis,Data Analyst,"SQL, Python, R, SAS, Julia","Excel, Tableau, Power BI, Google Data Studio, Jupyter Notebook, Git, Snowflake, Hadoop","Data cleaning, data visualization, statistical analysis, SQL querying, A/B testing, descriptive analytics, critical thinking, communication, problem-solving, attention to detail","Bachelor's (Data Science, Statistics, Computer Science)"
Data Science,Data Analysis,Business Data Analyst,"SQL, Python, R, VBA","Excel, Tableau, Power BI, Alteryx, Looker","Data modeling, KPI definition, stakeholder management, requirements gathering, business acumen, communication","Bachelor's (Business Analytics, Data Science, Economics)"
Data Science,Data Analysis,Quantitative Analyst (Quant),"Python, R, C++, MATLAB, Julia","Bloomberg Terminal, Excel, RStudio, Git, SQL","Time series analysis, statistical modeling, risk management, stochastic calculus, financial modeling, algorithm development","Master's (Quantitative Finance, Applied Mathematics, Statistics)"
Data Science,Data Analysis,Product Data Analyst,"SQL, Python, R","Mixpanel, Amplitude, Google Analytics, Tableau, Jupyter Notebook","A/B testing, cohort analysis, product metrics definition, data visualization, SQL querying, stakeholder communication","Bachelor's (Data Science, Business Analytics, Computer Science)"
Data Science,Data Analysis,Operations Data Analyst,"SQL, Python, VBA","Excel, SAP, Tableau, Power BI, Alteryx","Process optimization, forecasting, KPI tracking, supply chain analysis, operations research, problem-solving","Bachelor's (Operations Research, Data Science, Industrial Engineering)"
Data Science,Data Analysis,Marketing Data Analyst,"SQL, Python, R","Google Analytics, Adobe Analytics, Tableau, Excel, Looker","Campaign analysis, attribution modeling, A/B testing, SEO/SEM analysis, data visualization, storytelling","Bachelor's (Marketing Analytics, Data Science, Business Analytics)"
Data Science,Data Analysis,Financial Data Analyst,"Excel, SQL, Python, R","Excel, Bloomberg Terminal, Power BI, Tableau, QuickBooks","Financial modeling, budgeting & forecasting, variance analysis, financial reporting, accounting principles, attention to detail","Bachelor's (Finance, Data Science, Economics)"
Data Science,Data Analysis,Healthcare Data Analyst,"SQL, Python, R, SAS","Excel, Tableau, Power BI, Epic, Cerner","data cleaning, healthcare analytics, HIPAA compliance, statistical analysis, clinical data interpretation, data privacy, communication","Bachelor's (Health Informatics, Data Science, Public Health)"
Data Science,Data Analysis,Customer Insights Analyst,"SQL, Python, R","Tableau, Power BI, Qualtrics, SPSS, Salesforce CRM","customer segmentation, survey design, market research, data visualization, consumer behavior analysis, storytelling, stakeholder communication","Bachelor's (Market Research, Data Science, Business Analytics)"
Data Science,Data Analysis,Risk Data Analyst,"SQL, Python, R","Excel, SAS, Bloomberg Terminal, RStudio, Tableau","risk modeling, Monte Carlo simulation, credit risk analysis, regulatory compliance, statistical analysis, data quality","Bachelor's (Risk Management, Data Science, Statistics)"
Data Science,Data Analysis,Fraud Data Analyst,"SQL, Python, R","Excel, SAS, ACL, Splunk, Tableau","fraud detection, anomaly detection, pattern recognition, data mining, machine learning, investigative analysis, attention to detail","Bachelor's (Cybersecurity, Data Science, Finance)"
Data Science,Data Analysis,Reporting Analyst,"SQL, Python, Excel","Excel, Power BI, Tableau, SSRS, Crystal Reports","report development, dashboard creation, data visualization, SQL querying, requirements gathering, attention to detail, communication","Bachelor's (Information Systems, Data Science, Business Analytics)"
Data Science,Data Engineering,Data Engineer,"Python, SQL, Java, Scala, Go","Apache Spark, Hadoop, Airflow, Kafka, Git, Docker, Kubernetes","ETL design, data modeling, distributed systems, pipeline orchestration, performance tuning, troubleshooting, scalability, Linux","Bachelor's (Computer Science, Data Engineering, Information Systems)"
Data Science,Data Engineering,ETL Developer,"SQL, Python, Java, Scala","Informatica, Talend, SSIS, AWS Glue, Azure Data Factory, Apache NiFi","ETL mapping, transformation logic, workflow orchestration, data validation, performance tuning, debugging, documentation, attention to detail","Bachelor's (Computer Science, Data Engineering, Information Systems)"
Data Science,Data Engineering,Data Pipeline Engineer,"Python, SQL, Scala, Go","Apache Airflow, Kafka, Flink, Luigi, AWS Lambda, Google Cloud Dataflow","Real-time processing, pipeline optimization, error handling, logging, monitoring, data lineage, automation, scalability","Bachelor's (Computer Science, Data Engineering, Software Engineering)"
Data Science,Data Engineering,Data Warehouse Engineer,"SQL, Python, R","Snowflake, Amazon Redshift, Google BigQuery, Azure Synapse, dbt, Looker","Data modeling, star schema design, performance tuning, OLAP systems, partitioning, indexing, data governance, documentation","Bachelor's (Information Systems, Data Engineering, Computer Science)"
Data Science,Data Engineering,Cloud Data Engineer,"Python, SQL, Java, Go","AWS S3, AWS Redshift, AWS Glue, GCP BigQuery, GCP Dataflow, Azure Data Factory, Azure Synapse, Terraform, Docker","Cloud architecture, serverless computing, infrastructure as code, security, cost optimization, deployment automation, networking, scalability","Bachelor's (Cloud Computing, Data Engineering, Computer Science)"
Data Science,Data Engineering,Data Integration Engineer,"Python, SQL, Java, JavaScript","Informatica, Talend, MuleSoft, Dell Boomi, SSIS, Fivetran","API integration, data mapping, schema alignment, workflow orchestration, error handling, performance tuning, troubleshooting, collaboration","Bachelor's (Computer Science, Data Management, Information Systems)"
Data Science,Data Engineering,Big Data Engineer,"Java, Scala, Python, SQL","Hadoop, Spark, Hive, HBase, Kafka, Flink, Elasticsearch","Distributed computing, large-scale data processing, cluster configuration, performance tuning, data ingestion, real-time analytics, caching, scalability","Bachelor's (Big Data Analytics, Computer Science, Data Engineering)"
Data Science,Data Engineering,Streaming Data Engineer,"Java, Scala, Python, SQL, Go","Apache Kafka, Flink, Spark Streaming, AWS Kinesis, Pulsar, NiFi","Stream processing, event-driven architecture, latency optimization, backpressure handling, fault tolerance, real-time analytics, schema management, monitoring","Bachelor's (Computer Science, Data Engineering, Real-Time Systems)"
Data Science,Data Engineering,Real-time Data Pipeline Developer,"Python, Java, Scala, SQL, Go","Apache Beam, Spark Structured Streaming, Kafka, AWS Kinesis Data Analytics, Google Cloud Dataflow, NiFi","Low-latency processing, data serialization (Avro/Protobuf), error handling, throughput optimization, data validation, pipeline orchestration, CI/CD, monitoring","Bachelor's (Computer Science, Data Engineering, Software Engineering)"
Data Science,Data Engineering,Platform Data Engineer,"Python, Java, Go, Scala, SQL","Kubernetes, Docker, Terraform, Helm, Airflow, Argo CD","Platform design, infrastructure as code, CI/CD, multi-tenant architecture, reliability engineering, observability, policy-as-code, performance tuning","Bachelor's (Computer Science, Data Platforms, Information Systems)"
Data Science,Data Engineering,Data Lake Architect,"SQL, Python, Scala, Java","HDFS, AWS S3, Delta Lake, Apache Iceberg, Databricks, Glue Catalog","Data lake architecture, metadata management, zone design, data cataloging, governance, security, partitioning strategies, cost optimization","Master's (Data Architecture, Computer Science, Cloud Computing)"
Data Science,Data Engineering,Data Infrastructure Engineer,"Python, Go, Java, SQL","Terraform, Kubernetes, Docker, Ansible, Prometheus, Grafana","Infrastructure as code, cloud service integration, monitoring, logging, scalability, security, disaster recovery, scripting, uptime management","Bachelor's (Computer Science, Information Systems, Data Engineering)"
Data Science,Big Data,Big Data Engineer,"Java, Scala, Python, SQL","Hadoop, Spark, Hive, HBase, Kafka, Flink","distributed computing, cluster management, performance tuning, large-scale data processing, data ingestion, fault tolerance, scalability","Bachelor's (Computer Science, Big Data Analytics, Data Engineering)"
Data Science,Big Data,Hadoop Developer,"Java, Scala, Python, SQL","HDFS, MapReduce, YARN, Hive, Pig, Oozie, Sqoop","MapReduce programming, HDFS design, cluster configuration, performance tuning, data ingestion, scripting, troubleshooting","Bachelor's (Computer Science, Data Engineering, Information Systems)"
Data Science,Big Data,Spark Developer,"Scala, Java, Python, SQL","Spark Core, Spark SQL, Spark Streaming, MLlib, GraphX, Databricks","RDD/DataFrame optimization, streaming, batch processing, performance tuning, machine learning pipelines, debugging","Bachelor's (Computer Science, Data Engineering, Big Data Technologies)"
Data Science,Big Data,Big Data Architect,"Java, Python, SQL, Scala","Hadoop, Spark, Kafka, Flink, AWS EMR, Azure HDInsight","system architecture, data modeling, capacity planning, scalability, security engineering, cost optimization, governance","Master's (Data Architecture, Computer Science, Big Data Systems)"
Data Science,Big Data,Distributed Systems Engineer,"Java, Go, C++, Python, Scala","Kubernetes, Docker, Zookeeper, Kafka, Cassandra, gRPC","distributed algorithms, consensus protocols, fault tolerance, network programming, scalability, observability, debugging","Master's (Distributed Systems, Computer Science, Software Engineering)"
Data Science,Big Data,Data Lakes Engineer,"Python, SQL, Scala, Java","AWS S3, Azure Data Lake, Delta Lake, Apache Iceberg, Databricks, Glue","data lake architecture, metadata management, schema evolution, partitioning strategies, data ingestion, governance, security","Bachelor's (Computer Science, Data Engineering, Cloud Computing)"
Data Science,Big Data,Big Data Platform Engineer,"Java, Scala, Python, SQL","Hadoop, Spark, Kubernetes, Docker, Airflow, Mesos","platform development, automation, CI/CD, deployment, monitoring, multi-tenant management, scalability","Bachelor's (Computer Science, Big Data Technologies, Information Systems)"
Data Science,Big Data,NoSQL Data Engineer,"Python, Java, Scala, JavaScript, SQL","MongoDB, Cassandra, Redis, Elasticsearch, Apache Kafka, Apache Spark, HBase, Couchbase","Data modeling, sharding & replication, indexing & query optimization, ETL pipelines, schema design, distributed systems, performance tuning, data integration, problem solving, collaboration skills","Bachelor's (Computer Science, Database Systems, Information Technology)"
Data Science,Big Data,Big Data ETL Developer,"Python, Java, Scala, SQL","Apache NiFi, Talend, Informatica, AWS Glue, Pentaho, Apache Airflow","ETL pipeline design, data warehousing, batch processing, data cleansing, schema mapping, performance optimization, debugging, documentation, collaboration","Bachelor's (Data Engineering, Computer Science, Information Systems)"
Data Science,Big Data,Batch Processing Engineer,"Java, Scala, Python, SQL","Apache Hadoop, Spark, MapReduce, AWS EMR, Google Cloud Dataflow, Azure Data Factory, Oozie","Batch job scheduling, parallel processing, resource allocation, performance tuning, fault tolerance, data partitioning, workflow orchestration, debugging, communication","Bachelor's (Computer Science, Data Engineering, Software Engineering)"
Data Science,Big Data,Big Data DevOps Engineer,"Python, Bash, Java, Scala","Docker, Kubernetes, Terraform, Ansible, Jenkins, Apache Ambari, AWS EMR, Azure HDInsight","CI/CD, infrastructure as code, monitoring & logging, automation, cluster management, scalability, containerization, security best practices, collaboration","Bachelor's (DevOps Engineering, Computer Science, Cloud Computing)"
Data Science,Big Data,Data Streaming Specialist,"Java, Scala, Python, SQL","Apache Kafka, Flink, Spark Streaming, AWS Kinesis, Pulsar, Confluent Platform, Apache NiFi","Real-time data processing, event-driven architecture, low-latency design, stream partitioning, fault tolerance, schema registry, throughput optimization, pipeline monitoring, teamwork","Bachelor's (Computer Science, Real-Time Data Systems, Data Engineering)"
Data Science,Statistical Modeling,Statistical Data Scientist,"Python, R, SQL, SAS","scikit-learn, TensorFlow, RStudio, Jupyter, SPSS, MATLAB","hypothesis testing, regression analysis, experimental design, feature engineering, data visualization, statistical inference, problem solving, communication, critical thinking","Master's (Statistics, Data Science, Applied Mathematics, Computer Science)"
Data Science,Statistical Modeling,Biostatistician,"R, SAS, Python, SQL","SAS Clinical, RStudio, STATA, SPSS, JMP, BioConductor","survival analysis, clinical trial design, mixed models, longitudinal data analysis, regulatory standards, data cleaning, reporting, collaboration, attention to detail","Master's (Biostatistics, Public Health, Statistics, Epidemiology)"
Data Science,Statistical Modeling,Econometrician,"Stata, R, Python, MATLAB","EViews, GRETL, RStudio, SQL, Excel","time series analysis, panel data modeling, instrumental variables, cointegration, forecasting, regression diagnostics, economic theory, quantitative reasoning, report writing","Master's (Econometrics, Economics, Statistics, Applied Mathematics)"
Data Science,Statistical Modeling,Quantitative Modeler,"Python, R, C++, MATLAB","QuantLib, RStudio, Excel, SQL, Bloomberg Terminal","stochastic modeling, Monte Carlo simulation, optimization, derivative pricing, risk metrics, financial mathematics, data analysis, attention to accuracy, teamwork","Master's (Quantitative Finance, Applied Mathematics, Statistics, Computer Science)"
Data Science,Statistical Modeling,Statistical Programmer,"SAS, R, Python, SQL","SAS Base, SAS Macro, RStudio, Jupyter, Git","data manipulation, macro programming, reporting, validation & QC, automation, version control, documentation, debugging, teamwork","Bachelor's (Statistics, Computer Science, Data Science)"
Data Science,Statistical Modeling,Risk Modeling Analyst,"Python, R, SQL, SAS","SAS Risk, Moody's Analytics, RStudio, Excel, MATLAB","credit risk modeling, PD/LGD/EAD estimation, stress testing, scenario analysis, validation, regulatory compliance, statistical analysis, communication, problem solving","Master's (Financial Engineering, Statistics, Data Science, Risk Management)"
Data Science,Statistical Modeling,Predictive Modeling Specialist,"Python, R, SQL, Scala","scikit-learn, H2O.ai, XGBoost, TensorFlow, Spark MLlib","feature selection, model evaluation, cross-validation, ensemble methods, hyperparameter tuning, data preprocessing, A/B testing, business acumen, collaboration","Master's (Data Science, Applied Mathematics, Statistics, Computer Science)"
Data Science,Statistical Modeling,Statistical Consultant,"R, Python, SAS, SQL","RStudio, SAS Enterprise Guide, Jupyter, Excel, Tableau","statistical consulting, experimental design, data interpretation, client communication, hypothesis testing, model selection, report writing, problem framing, stakeholder management","Master's (Statistics, Data Science, Applied Mathematics, Economics)"
Data Science,Statistical Modeling,Machine Learning Modeler,"Python, R, Java, Julia","scikit-learn, TensorFlow, PyTorch, Keras, MLflow","feature engineering, model selection, cross-validation, hyperparameter tuning, algorithm implementation, performance evaluation, reproducibility, critical thinking, teamwork","Master's (Machine Learning, Statistics, Computer Science, Data Science)"
Data Science,Statistical Modeling,Clinical Data Modeler,"SAS, R, SQL, Python","CDISC ODM, SAS Clinical, OpenCDMS, RStudio, Oracle Clinical","data standards (CDISC), clinical trial data structuring, metadata management, data validation, SAS programming, documentation, regulatory compliance, attention to detail, collaboration","Master's (Biostatistics, Clinical Data Science, Public Health, Statistics)"
Data Science,Statistical Modeling,Bayesian Modeling Specialist,"R, Python, Stan, Julia","Stan, PyMC3/PyMC4, JAGS, RStan, ArviZ","Bayesian inference, MCMC sampling, hierarchical modeling, prior selection, posterior analysis, probabilistic programming, model checking, statistical theory, communication","PhD (Bayesian Statistics, Applied Mathematics, Statistics, Data Science)"
Data Science,Statistical Modeling,Forecasting Analyst,"Python, R, SQL, MATLAB","Prophet, Forecasting Toolbox, Excel, RStudio, Tableau","time series analysis, ARIMA/ETS modeling, exponential smoothing, seasonal decomposition, demand forecasting, accuracy metrics, scenario planning, data visualization, business insight","Master's (Statistics, Data Science, Business Analytics, Applied Mathematics)"
Data Science,Data Visualization,Data Visualization Specialist,"JavaScript, Python, R, SQL","D3.js, Tableau, Power BI, ggplot2, Plotly, Adobe Illustrator","visual design principles, chart selection, data storytelling, UI/UX, interaction design, data cleaning, color theory, communication, attention to detail","Bachelor's (Data Science, Computer Science, Graphic Design)"
Data Science,Data Visualization,BI Developer (Business Intelligence),"SQL, Python, DAX, MDX","Power BI, Tableau, Looker, QlikView, SSRS, SSAS","data modeling, ETL, OLAP cubes, report development, KPI definition, performance tuning, stakeholder engagement, documentation, problem solving","Bachelor's (Information Systems, Computer Science, Business Analytics) "
Data Science,Data Visualization,Data Dashboard Developer,"JavaScript, SQL, Python, R","Tableau, Power BI, Grafana, Kibana, Looker","dashboard design, user requirements gathering, real-time data integration, responsive layouts, performance optimization, drill-down capabilities, user testing, collaboration, adaptability","Bachelor's (Computer Science, Data Science, Information Systems)"
Data Science,Data Visualization,Data Storytelling Expert,"Python, R, SQL, JavaScript","Tableau, Power BI, D3.js, Adobe Illustrator, Canva","narrative development, audience analysis, visualization best practices, presentation skills, data interpretation, infographics, layout design, persuasive communication, creativity","Bachelor's (Data Science, Communications, Business Analytics)"
Data Science,Data Visualization,Tableau Developer,"SQL, Python, R, MDX","Tableau Desktop, Tableau Server, Prep, Extensions API","workbook development, data blending, parameterization, calculated fields, dashboard actions, performance tuning, version control, training users, troubleshooting","Bachelor's (Computer Science, Data Science, Business Analytics)"
Data Science,Data Visualization,Power BI Analyst,"DAX, M (Power Query), SQL, Python","Power BI Desktop, Power BI Service, Azure Synapse, Analysis Services","data transformation, report authoring, DAX formula writing, row-level security, data gateways, performance tuning, stakeholder workshops, documentation, analytical thinking","Bachelor's (Business Analytics, Information Systems, Data Science)"
Data Science,Data Visualization,Visualization Engineer,"JavaScript, Python, TypeScript, SQL","D3.js, Vega/Vega-Lite, Deck.gl, Kepler.gl, Three.js","custom visual development, front-end integration, WebGL, API design, interactive graphics, performance optimization, code maintainability, collaboration, problem solving","Bachelor's (Computer Science, Data Science, Software Engineering)"
Data Science,Data Visualization,Interactive Data Visuals Designer,"JavaScript, TypeScript, SQL, Python","D3.js, React, Three.js, Deck.gl, Observable","interaction design, UI/UX principles, animation techniques, responsive layouts, prototyping, data binding, storytelling, collaboration, creativity","Bachelor's (Graphic Design, UI/UX Design, Data Science) "
Data Science,Data Visualization,UX-focused Data Analyst,"Python, R, SQL, JavaScript","Tableau, Power BI, Figma, Looker, ggplot2","user research, wireframing, usability testing, data visualization, dashboard design, user journey mapping, communication, empathy, problem solving","Bachelor's (Data Science, UX Design, Human-Computer Interaction) "
Data Science,Data Visualization,D3.js Data Visualizer,"JavaScript, TypeScript, HTML,CSS, SQL","D3.js, SVG, Canvas API, Observable, Webpack","DOM manipulation, data binding, scalable vector graphics, animation & transitions, performance tuning, custom chart design, debugging, version control, collaboration","Bachelor's (Computer Science, Front-End Development, Data Science)"
